a.m,n.(缩)上午；午前
investigate,vt. &vi.调查研究
investigation,n.调查调查研究
investment,n.投资投资额投入
invisible,adj.看不见的无形的n.隐形人(或物品)
invitation,n.邀请招待请柬引诱招致
invite,vt.邀请聘请招待要求n.邀请
involve,vt.使卷入使陷入使忙于牵涉包含
inward,adj.里面的内心的向内的亲密的adv.向内n.内部内在
iron,"n.铁烙铁熨斗坚强(复数)铁制物vt.烫(衣)用铁装备vi.熨烫
(平)adj.刚强的"
irony,"n. 反讽,讽剌,讽剌之事"
irregular,adj.不规则的不整齐的不合法的n.不合规格之物
irrespective,a.不考虑的，不顾的
irrigation,n.灌溉；冲洗法
irritate,vt.激怒；引起不愉快
island,n.岛岛屿孤立体vt.建成岛屿隔离
isolate,vt.使隔离使孤立adj.孤立的n.分离
issue,n.问题争论点发行发行物期刊号vi. &vt.发行流出造成...结果
it,pron.这那它
Italian,adj.意大利n.意大利人
Italy,n.意大利
item,n.条条款一条项目一件商品(或物品)adv.也
its,pron.(it的所有格)它的
itself,pron.它自己它本身自身
ivory,n.象牙；牙质；乳白色
jacket,n.短上衣茄克衫
jail,n.监狱 vi.监禁
jam,n.果酱拥塞之物堵塞窘境v.挤塞满混杂vt.使塞满使堵塞
January,n.一月
Japan,n.日本日本国日本漆日本式漆器日本式物品
Japanese,adj.日本的日本人的日语的n.日本人日语
jar,"n.罐子坛子广口瓶不和谐刺耳声震动震惊vi.发刺耳声不协调震
动vt.扰乱使不稳定"
jaw,n.颌颚说教流言蜚语v.喋喋不休教训
jazz,"n.爵士音乐爵士舞(曲)空扯的话以及类似的东西vt.使...活泼
把...演奏成爵士风格vi.闲逛跳爵士舞"
jealous,adj.妒忌的猜疑的戒备的
jeopardize,"vt. 危害,使受危困,使陷危地"
jerk,vt.猛地一拉 vi.急拉
jet,"n.喷气式飞机喷嘴喷射喷出黑玉大理石vt.射出喷射vi.气流中喷
出adj.煤黑色的"
jew,n.犹太人
jewel,n.宝石宝石饰物v.镶以宝石
jewish,adj.犹太人的
job,"n. 职业工作零活职责任务vt. 投机买卖营私舞弊不公正地判罚
分包任务vi. 工作假公济私做分销商或批发商adj. 与工作有关
的"
join,vt.参加结合联合加入连接
joint,"n.接头接缝关节接合处adj.联合的共同的合资的连带的v.连接贴
合"
joke,n.笑话玩笑vi.说笑话开玩笑
jolly,"adj.快活的愉快的高兴的宜人的令人高兴的v.恭维哄开玩笑戏虐
adv.非常极为n.(尤英)欢乐欢庆(复数)follies:娱乐乐趣"
journal,n.日报期刊杂志日志
journalist,n.记者，新闻工作者
journey,n.旅行旅程行程v.旅行
joy,n.欢乐喜悦乐趣乐事vi.享受快乐
joyful,adj.十分喜悦的快乐的
judge,n.法官裁判员v.断定判断估计
judgement,n.意见审判判断
juice,"n.(水果等)汁液果汁细胞液内在本质汽油唾液体液vt.加液体榨
出...的汁液"
July,n.七月
jump,vi. &vt.跳跳过跳越惊跳暴涨突升n.跳跃跳动上涨
junction,n.连接；接头；中继线
June,n.六月琼(女子名)
jungle,n.丛林密林莽丛adj.丛林的蛮荒的
junior,"adj.年少的下级的后进的n.晚辈年少者地位较低者大学三年级学
生"
jury,n.陪审团评委会评奖团adj.临时用的vt.挑选
just,adv.刚才只是正好恰好adj.公正的公平的恰当的
justice,n.正义公正司法上诉法庭的法官
justification,"n. 辩护,证明是正当的,释罪"
justify,"vt.证明...是正当的替...辩护n.对齐,调整"
keen,adj.热心的激烈的敏锐的强烈的精明的热忠于
keep,vi.保持坚持保存维持继续保有记录n.生计维持围墙监狱
keeper,n.看护人饲养员保管人
kettle,n.水壶水锅坑穴
key,"n.钥匙关键答案按键音调adj.主要的关键的vt.上锁调节提供解
答键入vi.使用钥匙"
keyboard,n.键盘vt.用键盘输入
kick,"n.踢冲刺反冲钱包反对极大兴趣vt.踢对自己生气戒除vi.踢反抗
充满活力的运作反冲冲刺"
kid,"n.小孩儿童少年小山羊小山羊皮制品vi.(山羊羚羊)生幼崽玩恶
作剧vt.开玩笑哄骗嘲弄adj.相对年幼的"
kidney,n.肾，腰子；性格
kill,vi.杀死扼杀消磨消减破坏n.杀杀戮
kilogram,n.千克公斤
kilometer,n.千米公里=kilometre(略作km)
kind,n.种类本质adj.仁慈的友好的和蔼的
kindness,n.仁慈好意
king,n.国王君主
kingdom,n.王国领域界
kiss,vt.吻轻触vi.接吻轻触n.吻蛋白小饼干小糖果
kit,n.成套工具；用具包
kitchen,n.厨房灶间
kite,n.风筝v.用空头支票骗人使上升
knee,n.膝膝盖膝关节像膝盖的东西护膝屈膝鞠躬vt.用膝盖顶
kneel,vi.跪跪下跪着
knife,n.小刀刀餐刀v.用刀切割如刀割般
knit,vt.把...编结编织密接结合皱眉vi.编织变得紧凑愈合n.编织
knob,n.门把，拉手；旋纽
knock,vi. &vt.敲击打互撞攻击n.敲敲打敲门
knot,"n.(绳的)结(树的)节难题一小群vi.打结vt.把...打成结系牢捆
扎"
know,vt.知道认识通晓n.知识了解
knowledge,n.知识学识知道了解
lab,n.实验室研究室
label,n.标签签条标记符号商标称谓vt.贴标签于分类把...称为
labor,"n.工作劳动劳力劳方vt.苦干劳动分娩阵痛致力于vi.过分详尽阐
述adj.劳工的劳动的"
laboratory,n.实验室研究室实验大楼
labour,n.劳动工作劳工Labour(英国)工党
lace,n.鞋带系带花边饰带缎带v.结带子饰以花边
lack,vi. &vi. &n.缺乏不足无
ladder,n.梯子阶梯梯状物
lady,n.女士夫人贵妇人
lag,"vi. 走得慢落后vt. 落后投掷盖上桶盖耽搁n. 落后滞后落后的
人(两事件之间的)时间间隔耽搁桶盖adj.  最后的"
lake,n.湖
lamb,n.羔羊小羊羔羊肉温顺的人v.产羊羔
lame,"adj.跛的瘸的残废的无说服力的vt.使...成残废使...变无用n.
金属薄板"
lamp,n.灯发光或反射光的天体灵光
land,n.陆地国土土地vi.上岸使靠岸卸货得到登陆
landing,n.上岸登陆着陆楼梯平台动词land的现在分词
landlady,n.女房东女地主
landlord,n.地主房东店主
landscape,n.风景，景色，景致
lane,n.(乡间)小路小巷行车道跑道
language,n.语言语言课程
lantern,n.提灯灯笼[建]天窗屋顶气窗
lap,"n.膝部膝盖一圈一周下摆舐声vt.包围抱...在膝上重叠舔拍打泼
溅vi.重叠围住轻拍舔"
large,adj.大的巨大的广泛的强烈的普遍地大量地
largely,adv.大部分大量地主要地
laser,n.激光镭射
last,"adj.最后的末尾的最近的晚了迟到了adv.最后最新n.最后来的人
(或发生的事)v.持续持久耐久"
late,adj.迟的晚的已故的adv.迟很迟晚最近地
lately,adv.最近不久前
latent,a.存在但看不见的
later,adv.后来过一会儿稍后后来迟到地adj.更迟的后面的
Latin,adj.拉丁的拉丁人的拉丁语系国家的n.拉丁语拉丁人
latitude,n.纬度；黄纬
latter,adj.(两者中)后者的后面的
laugh,vi.笑发笑n.笑(声)笑料(复数)娱乐
laughter,n.笑笑声
launch,vt.&n.发射投射发动下水开始升天汽艇
laundry,n.洗衣房洗衣店要洗的衣服洗衣
lavatory,n.盥洗室厕所
law,n.法律法令起诉法则规律vi.起诉
lawn,n.草地草坪草场上等细麻布
lawyer,n.律师法学家
lay,"lie的过去式vt.置放铺设设置击产卵使平静打赌压平罚款设计
vi.生蛋打赌全力以赴n.隐蔽处计划价格生蛋叙事诗诗歌adj.世
俗的外行的"
layer,"n.层层次铺设者vi.分层vt.将某物堆积成层n.产卵鸡[园艺]压条
vt.用压条法使(嫩枝)生根"
layman,"n. 俗人,门外汉,凡人"
layout,n.布局安排设计
lazy,adj.懒惰的懒散的
lead,"vt.为...带路领导引导带领以铅接合过...(的生活)n.铅铅制品
领引榜样"
leader,n.领袖领导人首领
leadership,n.领导领导才干
leading,"adj.指导的领导的最主要的在前的vbl.领导引领以铅接合n.领导
疏导铅板"
leaf,n.叶叶子树叶页活动桌板花瓣vt.翻页vi.长叶子翻页浏览
leaflet,n.传单，活页；广告
league,n.同盟联盟联合会社团
leak,vi.漏泄露漏渗n.漏洞
lean,"vi.倾斜屈身倚靠依赖vt.使倾斜n.瘦肉倾斜弯曲adj.瘦的贫乏的
歉收的"
leap,vi.跳跃跳跃猛冲vt.跃过n.跳跃剧增急变
learn,vi.学学习了解习得vt.学学习获悉
learned,adj.有学问的博学的学术上的learn的过去式和过去分词
learning,n.学习学问知识动词learn的现在分词
lease,n.租约，契约，租契
least,adj.最少的最小的n. &adv.最少最小
leather,n.皮革皮革制品adj.皮革制的vt.用皮革覆盖鞭打
leave,"vi.离去生出叶子vt.离开告假遗留听任使处于某种状态n.许可准
假告别"
lecture,n. &vi.演讲讲课教导教训斥责
left,adj.左边的ad.在左边n.左边p.p.of leave
leg,n.腿腿部支柱裤脚管vi.用脚走路
legal,adj.法律的合法的法定的
legend,n.传说，传奇
legislation,n.立法；法规
legitimate,"a. 合法的,正当的 vt. 使合法"
leisure,n.空闲时间悠闲闲暇休闲
lemon,n.柠檬柠檬树
lend,vt.把...借给贷(款)给予增添vi.贷款
length,n.长长度一段篇幅
lens,n.透镜镜片镜头
less,adj.更少的更小的ad.更少地更小地n.少量次要prep.减
lessen,vt.减少减轻缩小变小
lesson,n.功课课课程教训vt.给...上课教训
lest,conj. &prep.惟恐以免
let,vt.允许让使释放vi.出租承包n.障碍擦网球
letter,n.信证书字母v.写下印刷n.租赁人
level,"n. 水平面水平等级标准层次a. 水平的平坦的齐平的稳定的合理
的满满的vt. 压平使同等瞄准夷为平地推翻指责vi. 趋向平稳瞄
准诚恳待人使平等"
lever,n.杆杠杆控制杆似杠杆之工具vt.撬开使用杠杆
liability,n.责任；倾向；债务
liable,adj.易于...的可能的有义务的应负责的有...倾向
liar,n.说谎的人
liberal,"adj.心胸宽大的慷慨的无偏见的不拘泥的宽大的开明的n.自由主
义者宽容大度的人(Liberal)自由党人"
liberate,vt.解放释放使获自由v.解放使获得自由释出放出
liberation,n.解放解放运动(为获得平等权利和地位的行为)
liberty,n.自由释放许可
librarian,n.图书馆馆长
library,n.图书馆藏书
license,n.许可批准批准执照许可证vt.准许特许
lick,vt.舔舔吃连续击打击败vi.用舌头舔拍打n.舔少许打
lid,n.盖子盖囊盖
lie,vi.躺平放位于说谎欺骗n.谎言
lieutenant,n.陆军中尉副职官员助理人员
life,"n.生命一生寿命生活人生生物灵魂无期(徒刑)adj.活的终身的生
动的"
lifetime,n.一生终身寿命使用期限
lift,"vt.提起提高升高举起还清取消偷窃运送vi.提升n.电梯举起帮助
提升电梯载货量扒窃搭便车"
light,"n. 光光线灯光源启发众所周知的通光口眼光adj. 轻的不重要的
容易的明亮的淡色的少量的vi.  点燃着火变亮下马落下碰巧发
生vt. 点燃照亮adv. 轻地轻便的"
lighten,vt.照亮使明亮点亮变亮减轻
lightly,adv.轻轻地轻松地轻快地轻蔑地轻率地轻微地
lightning,n.闪电闪电放电adj.闪电般的快速的vi.打闪
like,"vt. 喜欢喜爱希望愿意想adj. 相似的同样的prep. 像如同像要
n. 爱好类似的人(或物)  adv. 大概和...一样conj. 如同"
likelihood,n.可能(性)
likely,adj.可能的合适的可信的有前途的有吸引力的adv.很可能
likewise,ad.同样地也又此外(表示感觉相同)我也是
limb,n.肢臂翼树枝四肢枝干边缘vt.切断手足切断树干
lime,"n.石灰酸橙酸橙树粘鸟胶钙vt.施石灰涂上粘性物质沾上粘鸟胶
adj.与石灰或石灰石相关的"
limit,n.限度限制范围vt.限制限定
limitation,n.限制限度局限
limited,adj.有限的被限制住的缺乏创新性的
limp,vi.蹒跚，跛行 n.跛行
line,"n.线排路线线条行航线场界皱纹家族v.用做衬里排成一行顺...
排列vi.排成一行顺...排列划线于"
linear,a.线的；长度的
linen,n.亚麻布亚麻线亚麻织物亚麻制品adj.亚麻布制的亚麻的
liner,n.班船，班机
linger,vi.逗留，徘徊；拖延
link,vt.有环连接连接联系n.环环节联系(链的)环圈
lion,n.狮子勇猛的人
lip,n.嘴唇
liquid,n.液体a.液体的液态的
liquor,n.酒溶液液剂
list,"n.表明细表目录名单条纹倾斜列举<古>意向vt.列出列表(使)倾
斜<古>使高兴愿意<古>听"
listen,vi.听留神听听从倾听n.听倾听
listener,n.听者听众之一
liter,n.升公升(容量单位)=litre(英)
literacy,"n. 读写能力,识字"
literal,a.文字(上)的；字面的
literary,a.dj文学(上)的
literature,n.文学文献
litter,n.废物，杂乱 vi.乱扔
little,adj.小的少幼小的adv.毫不少量地n.几乎没有(指数量或程度等)
live,vi.居住活过着adj.活的生动的精力充沛的直播的
lively,adj.活泼的活跃的栩栩如生的真实的逼真的
liver,n.肝肝脏
living,adj.活的生动的n.生活生计动词live的现在分词
living-room,n.起居室
load,vt.装装满装载装填担负给(枪)装子弹n.负载负荷重担装载量
loaf,n.一条面包一个面包条块面包vi.游手好闲虚掷光阴
loan,n.贷款暂借借出债权人vt.借出借给供应货款
lobby,n.前厅，(剧院的)门廊
local,adj.地方的局部的地方性的当地的n.当地人
locality,n.位置，地点，发生地
locate,vt.探明找出查出设于位于建立vi.建立住下来
location,n.位置场所地点定位外景拍摄地
lock,"n.锁刹车水闸牢牢紧握一束一缕vt.锁上锁住抓牢使固定vi.锁
(住)纠结过闸"
locomotive,n.火车头机车adj.运转的火车头的移动的
lodge,vi.暂住借宿投宿临时住宿安顿n.小屋门房支部
loft,n.阁楼顶楼
lofty,a.高耸的；高尚的
log,"n.原木木料记录日志计程仪vt.伐木切记录航行度过(时间)vi.采
伐"
logic,n.逻辑(学)(合理的)推理逻辑性
logical,adj.逻辑的符合逻辑的有推理能力的
lonely,adj.孤独的荒凉的寂寞的
long,"adj.长的远的很久的冗长的adv.长久长期地远地vi.渴望热望极
想念n.长时间长音节"
longitude,n.经线，经度
look,"vi.看显得注意朝着好象vt.打量注视用眼神或脸色表示期待n.看
神色样子脸色"
loop,"n.圈环环孔弯曲部份回路vt.使...成环以圈结以环连结vi.形成
环环形地行动"
loose,"adj.松的宽松的不牢固的不精确的n.解放放任放纵v.释放放枪开
船"
loosen,vt.解开使松驰放松松开解除(便秘等)放宽vi.变松松弛
lord,n.贵族上帝基督主
lorry,n.运货汽车卡车
lose,vt.失去遗失迷失输掉失败损失摆脱vi.丢失失败
loss,n.遗失损失失败丧失损耗亏损
lot,"n.许多大量签抽签阄小组场地命运adv.很非常pron.大量vt.分配
划分"
loud,adj.响亮的吵闹的大声的难闻的adv.响亮地大声地
loudly,adv.大声地高声地花俏地
loudspeaker,n.扬声器喇叭
lounge,n.(旅馆等的)休息室
love,vt.爱爱慕热爱喜欢vi.爱n.爱恋爱爱情情人
lovely,adj.可爱的令人愉快的n.漂亮的女人美好的东西
lover,n.爱好者情人情侣
low,"adj.低的矮的低下的低点(价)深度牛叫声adj.低的消沉的低等的
粗俗的衰弱的vi.牛叫"
lower,"adj. 较低的低的下级的下层的vt. 放下降低跌落减弱贬低vi.
皱眉降低阴沉变少n.  皱眉下级阴沉的样子前兆"
loyal,adj.忠诚的忠心的
loyalty,n.忠诚忠心
lubricate,vt.使润滑vi.加润滑油
luck,n.运气好运幸运吉祥之物v.侥幸成功
lucky,adj.幸运的带来好运的吉祥的
luggage,n.行李皮箱皮包
lumber,n.木材木料制材v.伐木vi.缓慢地移动vt.拖累
luminous,a.发光的；光明的
lump,"n.团块块状肿块瘤很多愚笨的人惩罚vt.聚成团合并考虑同等对
待或分类笨拙地移动结块忍受vi.使成块状沉重地移动adj.整体
的全部的块状的"
lunar,a.月亮的
lunch,n.午餐(美)便餐vi.吃午餐vt.请客吃午餐
lung,n.肺脏肺呼吸器官
luxury,n.奢侈奢华奢侈品
machine,n.机器机械机械装置机械般工作的人核心vt.以机器制造
mad,adj.发疯的恼火的狂热的着迷的生气的v.发怒n.发怒
madam,n.夫人女士太太老鸨
magazine,n.杂志期刊
magic,n.魔法巫术戏法adj.有魔力的神奇的vt.使用魔(变出等)
magnet,n.磁铁磁石磁体有强大吸引力的人或物
magnetic,adj.磁的有吸引力的催眠术的
magnificent,adj.壮丽的华丽的宏伟的极好的
magnify,vt.放大，扩大
magnitude,n.大小；重大；星等
maid,n.女佣女仆侍女少女
mail,n.邮件邮政vt.邮寄
main,"adj.主要的最重要的n.主要部分干线(水、煤气、电等)供应系统
体力"
mainland,n.大陆本土
mainly,adv.主要地大体上
maintain,vt.维持赡养维修保养坚持断言
maintenance,n.维持保持维修生活费用供给抚养主张
majesty,n.威严，尊严；陛下
major,"adj.较大的主要的较多的大部份的n.专业主修成年人陆军少校巨
头vi.主修"
majority,n.多数大多数
make,vt.使做制造vi.表现前往生产n.牌子型号性格生产
male,a.男的雄的n.男子雄性动物
mall,n.大型购物中心
man,n.男人人人类vt.为...配备人手使...振奋
manage,vt.管理设法对付处理维持达成经营vi.管理达成
management,n.管理(层)经营处理
manager,n.经理管理人
manifest,vt.表明 a.明白的
manipulate,vt.操作；控制，手持
mankind,n.人类男人
manly,adj.男子气概的果断的强壮的适于男人的adv.男子般地
manner,n.方式态度礼貌举止习俗
manoeuvre,"n.vi. 调遣,演习vt. 调动,操纵"
manual,adj.体力的手工的n.手册指南键盘
manufacture,vt.制造加工vi.参与制造n.制造产品制造业
manufacturer,n.制造商制造厂
manuscript,n.手稿，底稿，原稿
many,adj.许多的pron.许多人或物n.许多人许多
map,n.地图图天体图基因图谱vt.绘制地图计划
marble,n.大理石vt.使有大理石的花纹
march,n.(March)三月示威游行vt.使前进使行军vi.行军进军游行示威
margin,n.页边的空白边缘差额利润vt.使围绕于加边缘
marginal,a.记在页边的；边缘的
marine,adj.海的海上的海事的船舶的航海的n.(海军)士兵或军官海景画
mark,"n.斑点污迹记号标记分数烙印纪录vt.标明做标记于留意打分数
留下污痕使...明显vi.做标志记分留下印记"
market,"n.市场集市销路交易推销地区vt.在市场上交易使...上市vi.在
市场上买卖"
marriage,n.结婚婚姻婚礼
married,adj.已婚的婚姻的
marry,vt.娶嫁vi.结婚结合
marsh,n.沼泽地，湿地
marshal,n.元帅；陆军元帅
marvelous,adj.奇迹般的了不起的令人惊异的不平常的
Marxism,n.马克思主义
Marxist,adj.马克思主义的
masculine,a.男性的；强壮的
mask,n.面具伪装口罩掩饰面膜vt.掩饰戴面具化装[计]掩码
mass,"n.众多团群众块大量adj.群众的大规模的v.集中(Mass)n.弥撒弥
撒曲pl.群"
massive,a.粗大的；大而重的
master,n.主人能手硕士专家adj.主人的主要的精通的vt.征服控制精通
masterpiece,n.杰作，名著
mat,"n. 席子草席垫子垫丛衬边消光面vt. 遮盖保护用垫子装饰使纠
缠铺席于...上使...无光泽给(照片)镶框vi. 缠结"
match,n.比赛竞赛对手火柴般配的人配偶v.使...相配与...竞争相配
mate,n.伙伴同事配偶助手v.使...配对交配使...一致结伴
material,"n.材料原料物质素材题材资料a.物质的实体的身体上的肉体的重
要的关键的"
materialism,n.唯物主义唯物论实利主义
mathematical,adj.数学的数学上的精确的可能性极小的
mathematics,n.数学
maths,n.(英)数学=mathematics(英)
matter,n.事情物质原因vi.要紧有关系
mature,"adj.成熟的到期的充分发育的考虑周到的vt.使…成熟长成vi.长
成成熟到期"
maximum,n.最大量极点极大adj.最大的最高的最大极限的
may,v.aux.可能可以祝愿n.(May)五月青春
maybe,adv.大概或许也许n.不确定性
mayor,n.市长
me,pron.(宾格)我
meadow,n.草地，牧草地
meal,n.膳食一餐谷物粗粉vi.进餐
mean,"vt. 作...解释意指意谓想要意欲n. 平均值平均数中部adj. 低
劣的卑贱的卑鄙的自私的吝啬的平均的中等的"
meaning,n.意义意思含义意图adj.意味深长的
means,n.方法手段工具折中点物质财富
meantime,n.其时其间adv.当时与此同时
meanwhile,adv.同时当时n.其时其间
measurable,adj.可测量的
measure,vt.量测量n.分量措施办法量度尺寸
measurement,n.衡量测量尺寸大小
meat,n.肉主要或重要部分
mechanic,n.技工机械机修工adj.手工的
mechanical,a.机械的力学的呆板的n.(供制版用的)样书版面设计
mechanically,adv.机械地
mechanics,n.力学机械学(技术的操作的)过程手法技术性细节
mechanism,n.机械装置；机制
medal,n.奖章勋章纪念章vi.获得奖章
media,n. 媒体
mediate,"a. 居间的,间接的vt. 斡旋,调停"
medical,adj.医学的内科的医疗的药物的需治疗的
medicine,n.内服药医学
medieval,"a. 中古的,中世纪的"
Mediterranean,n.地中海adj.地中海(的)
mediterranean,n.地中海 a.地中海的
medium,n.媒质方法媒介中间adj.中等的适中的
meet,"vt.遇见引见经历结识对付满足支付vi.相遇集合交锋相交n.集会
比赛运动会adj.适宜的合适的"
meeting,n.聚集会合会见会议
melody,n.旋律，曲调；歌曲
melon,n.瓜甜瓜
melt,vi.融化熔化溶解软化渐渐混合vt.使融化n.熔化熔化物
member,n.成员会员部位
membership,n.成员资格；会员人数
memorial,adj.纪念的追悼的记忆的n.纪念碑(堂)纪念仪式
memory,n.记忆回忆存储内存
menace,vt.&vi.&n.(进行)威胁
mend,"vt.修理修补缝补修改改进vi.改过自新改进痊愈n.修补改进修补
处"
mental,adj.智力的精神的脑力的精神错乱的传心术的
mention,vt. &n.提及说起
menu,n.菜单饭菜菜肴
merchant,n.商人零售商店主专家adj.商业的vt.做买卖
mercury,n.水银汞(Mercury)水星
mercy,n.仁慈慈悲恩惠怜悯宽恕幸运adj.仁慈的宽恕的
mere,adj.仅仅的纯粹的微小的n.小湖边界地标
merely,adv.仅仅只不过
merge,"vt. 使合并,使并为一体"
meridiem,n.正午
merit,n.长处优点功过功绩价值v.博得值得或应得
merry,adj.欢乐的愉快的敏捷的
mess,vt.弄脏，弄乱，搞糟
message,n.信息消息启示要点v.传递信息通讯
messenger,n.送信者，信使
metal,n.金属质料金属制品vt.以金属覆盖
metallic,a.金属的 n.金属粒子
meter,n.计量器计表公尺韵律vt.用表测量
method,n.方法办法教学法条理类函数类成员函数(计算机)
metre,n.米公尺计量器(诗的)韵律格律=meter(美)
metric,adj.公制的米制的十进制的n.度量标准公制米制十进制
metropolitan,a.主要都市的n.大主教
microcomputer,ən.微型计算机微机
microphone,n.话筒麦克风扩音器
microscope,n.显微镜
midday,n.正午中午
middle,n.中部中间腰中项adj.中部的中等的中间的中期的
midnight,n.午夜子夜夜半漆黑
midst,n.中部中间当中prep.(=amidst)在...当中
might,v.aux.可能会也许n.力量威力能力v.或许可以
migrate,vi.迁移，移居
mild,adj.和缓的温柔的味淡的轻微的温和的适度的
mile,n.英里大量海里一英里赛跑
militant,a. 好战的
military,adj.军事的军人的n.军队
milk,n.乳乳状物牛奶vt.挤(奶)产乳
mill,"n.磨坊制造厂磨粉机密尔： 一种货币单位使陷于困境vt.磨细vi.
乱转磨细"
millimetre,n.毫米=millimeter(美)
million,num.百万n.许多百万(the millions)群众adj.百万的无数的
mind,n.头脑理智记忆思想主意心意vt.留心注意介意照顾vi.留心关心
mine,pron.我的n.地雷矿山宝库vt.采矿开凿暗中破坏埋地雷vi.挖掘
miner,n.矿工
mineral,n.矿物矿石adj.矿物的
mingle,vt.使混合vi.混合起来
miniature,n.缩影 a.缩小的
minimal,"a. 最小的,极微的,最小限度的"
minimize,vt.使减到最小
minimum,n.最小量最低限度adj.最低的最小的
minister,n.部长大臣公使vi.照顾给予帮助
ministry,n.(政府的)部(全体)牧师牧师工作
minor,"adj.较小的较次要的二流的未成年的n.未成年人辅修科目[音乐]
小调vi.辅修"
minority,n.少数少数民族未成年
minus,adj.负的减的prep.减(去)n.减号负数缺点
minute,n.分分钟一会儿会议记录adj.微小的不重要的详细的vt.记录
miracle,n.奇迹令人惊奇的人
mirror,n.镜子vt.反映反射
miserable,adj.痛苦的悲惨的贫乏的
misery,n.痛苦，悲惨，不幸
misfortune,n.不幸，灾祸，灾难
mislead,vt.使误入岐途误导使产生错误印象欺骗
miss,n.小姐vt.想念惦念漏掉错过未看到
missile,n.发射物导弹
missing,a.缺掉的失去的失踪的
mission,n.使命任务使团代表团传教vt.传教
missionary,n.传教士
mist,n.薄雾迷蒙朦胧不清vt.使...模糊蒙上雾vi.使...模糊下雾
mistake,n.错误误会vi.误解弄错犯错vt.弄错误认
Mister,n.先生
mistress,n.女主人夫人主妇情妇
misunderstand,vt.误解误会曲解
mix,vt.使混合混淆掺入合成交往联系n.混合(物)融合
mixture,n.混合混合物
moan,n.呻吟声悲叹声抱怨声vi.呻吟v.抱怨呻吟
mobile,"adj.运动的流动的可移动的易变的迁徙的n.(可随风飘动的)悬挂
装置可动雕塑"
mobilize,vt.动员 vi.动员起来
mock,n.嘲弄 vt.嘲弄，挖苦
mode,n.方式样式模式风格时兴
model,n.模型模式模特儿模范
moderate,"a.温和的有节制的适度的稳健的中等的v.节制使...稳定使...缓
和n.稳健的人"
modern,a.现代的近代的时髦的n.现代人时尚人士
modest,adj.有节制的谦虚的适度的端庄的
modify,vt.更改修改修饰调正缓和vi.修改
moist,"adj.湿润的潮湿的多雨的(果物)多汁的,有分泌物的湿性的n.潮
湿"
moisture,n.潮湿湿气温度
molecule,n.分子克分子
moment,n.片刻瞬间时刻准确时刻非常重要的时机力矩
momentum,"n. 动力,要素"
Monday,n.星期一
money,n.货币金钱财富
monitor,"n.班长监视器监听员,显示器v.监视监听监督"
monkey,n.猴子猿v.胡闹乱弄
monopoly,n.垄断，独占，专利
monster,n.怪物；畸形的动植物
month,n.月月份
monthly,"adj.每月的持续一个月的每月发生的adv.每月按月n.月刊(复数
monthlies)月经"
monument,n.纪念碑纪念馆历史遗迹
mood,n.心情情绪语气
moon,n.月球月亮卫星
moral,adj.道德(上)的合乎道德的n.品行寓意道德
morality,n.道德，美德，品行
more,a.更多的程度较大的更大的adv.更多更多进一步n.更多
moreover,adv.再者加之此外而且
morning,n.早晨上午开端
mortal,a.终有一死的；致死的
mortgage,n.抵押 vt.抵押
mosquito,n.蚊子
most,"adj.最多的大多数的几乎全部的adv.最很最多极其n.最多最大
pron.大多数"
mostly,adv.主要的大部分大概
motel,n.汽车游客旅馆
mother,n.母亲妈妈adj.母亲的母体的vt.生育像母亲一样关爱
motion,n.运动打手势提议示意移动动作大便v.运动向...打手势示意
motivate,vt.促动激励激发(兴趣或欲望)给与动机
motive,"n.动机目的主题adj.发动的运动的积极的动机的vt.促使使有动
机"
motor,"n.发动机机动车马达汽车adj.机动的有引擎的汽车的v.(用引擎)
驱动"
mould,"n.模子(样板形状霉菌土类型)模型vt.浇铸模压(铸造发霉形成轮
廓相符合)vi.发霉"
mount,vt.登上爬上提升装备vi.增长骑上(马)n.山峰乘用马框衬纸
mountain,n.山山岳山脉大量
mourn,vi.哀痛，哀悼
mouse,"n.老鼠耗子鼠标胆小如鼠的人乌青色的肿块vi.捕鼠蹑手蹑脚行
动vt.仔细寻找"
mouth,"n. 嘴口口腔开口需要供养的人夸张说话的趋势(河流等)入口容
器的开口vt. 装腔作势说话送进嘴里喃喃自语用唇语说vi.  傲
慢地说嘟嘴扮鬼脸"
mouthful,n.满口一口少量
move,"vt.使移动使...感动推动(有时也意译为""跳槽"")n.移动迁居步骤
动作vi.移动搬家采取行动"
movement,n.动作活动移动运动变动趋势通便运转装置[音]乐章
movie,n.电影电影院
much,adv.非常很adj.许多的pron. &n.许多
mud,n.软泥泥浆恶意诽谤和攻击vt.弄脏污蔑
muddy,adj.多泥的泥泞的肮脏的混浊的v.弄脏使...混浊使迷惑
mug,n.大杯脸一杯的量恶棍vi.扮鬼脸vt.攻击打劫
multiple,adj.复合的并联的许多多种多样的
multiply,vt.使增加乘vi.扩大繁衍做乘法adv.多样地多重地
multitude,n.大批，大群；大量
municipal,a.市的，市立的
murder,n.谋杀凶杀危险物vt.谋杀凶杀折磨损坏vi.谋杀凶杀
murderer,n.杀人犯凶手
murmur,"vi. 低语,低声而言 n.低语"
muscle,n.肌肉肌体力vt.用力挤vi.用力进行
muscular,a.肌肉发达的，强健的
museum,n.博物馆展览馆
mushroom,n.蘑菇菌类植物暴发户vi.扩张迅速增加采蘑菇
